,iteracao,wp1w,wp2w,zfoc,R1,L1,R2,L2,R3,Fobj
0,0.0,0.17090794938,0.0880396594011,70.777286292,32.4442301905,32.2802310052,41.6760761586,5.10625253695,19.3333669757,0.16514351507735006
1,0.0,0.307239299182,0.356693474643,37.9516959197,71.3319488141,2.58270785421,99.0273600611,31.7119688878,101.296201402,2.9880494954365218
2,0.0,0.321733732526,0.920791064089,65.1358474688,69.7915487639,48.6597243712,65.8865064265,48.0666679538,98.4828039626,4.322477009958553
3,0.0,0.380450257735,0.266861700735,197.528732974,62.6117080047,5.16105586054,37.4957597451,2.77980214972,62.2293473347,0.6981709092277062
4,0.0,0.196817932517,0.702517826424,75.4794094473,66.0594491748,4.73708688569,49.4337175506,11.3440662382,51.7982197375,1.062184573879581
5,0.0,0.309333452911,0.235538277785,139.731390386,68.7908824829,70.6953828707,100.331024398,47.6034382647,108.563315096,3.396491466882549
6,0.0,0.254198163847,0.124216943951,24.3891515461,43.0396471111,56.0882346311,50.685638872,10.4977352596,49.280915978,3.311588694550842
7,0.0,0.294273324764,0.4833456447,6.84909330911,100.274013017,58.2555816713,114.823033691,22.4052467356,82.3001829968,7.604252909652806
8,0.0,0.320883903712,0.165106132966,104.750559916,12.7462686103,69.874396996,116.33347293,13.3651119156,40.1191536546,1.159605390238506
9,0.0,0.277815282108,0.597817402445,186.779584859,40.7280602817,19.9988660413,49.6251648349,39.7400616699,71.7990262733,0.03874275483257372
10,0.0,0.162211830117,0.137306609409,34.7077932051,50.2679586151,59.5846951583,11.9570836925,15.6795717368,84.0322964506,1.4302449152825039
11,0.0,0.189040199471,0.112809669013,132.041101,98.4538677106,33.2209210957,34.906592308,54.654513058,78.731903347,2.4024470883816598
12,0.0,0.250069637847,0.594815364866,11.7490656635,57.8293967628,62.1665850472,41.9099163265,21.4008464477,113.268907098,4.316696593952049
13,0.0,0.232404780306,0.71926340286,100.792532187,98.630601733,40.7419351202,109.142218588,35.017238141,27.104621284,8.68665472364619
14,0.0,0.392143136543,0.733305075381,67.9798325583,41.4304053426,33.4834010063,35.5289958985,2.71187836058,111.917634423,1.8063672915834563
15,0.0,0.312391380874,0.475197590307,113.321856407,76.3478242709,38.9116654214,87.6141877767,44.6305950984,67.3394437244,5.0021905299520775
16,0.0,0.340568136823,0.230644519734,194.621187393,93.1072119134,75.3179484896,19.4035290288,12.6035823436,2.2574342415,0.482462501810228
17,0.0,0.286860586715,0.967797341869,190.142723294,77.439009777,51.9698425944,14.4165849007,9.10768924945,72.8279249365,0.4395200054285992
18,0.0,0.292327896802,0.975927618645,119.069434477,87.1690187466,17.6815750748,105.369813439,57.9500901919,101.367787829,5.14467176573409
19,0.0,0.188088596532,0.337309922689,70.0579437369,61.2988555312,14.8768409217,112.503722903,22.3196510429,41.8028437636,7.586057646303786
20,1.0,0.35176843996159735,0.013839149847626686,157.87150020245463,21.690063513815403,16.737284436821938,57.30441075749695,6.129299942404032,47.18017738312483,0.13779810380578988
21,2.0,0.3043596568517387,0.16192392352968454,160.87161897681653,106.981405839324,5.806163847446442,52.61334008537233,15.514661315828562,46.09846405684948,2.0271491755094884
22,3.0,0.24687667875550687,0.46080275159329176,103.52038506418467,106.13200411200523,12.805967852473259,104.68595487065613,17.58445082232356,64.79183189570904,7.521367742191135
23,4.0,0.18225740580819547,0.03148007299751043,192.1462905453518,66.66081349365413,71.44013613462448,48.37235800921917,3.7610192969441414,42.88709957152605,1.0994291278855444
24,5.0,0.2092402210459113,0.6587196290493011,103.02033061161637,112.65779307112098,48.3503533154726,24.09342891536653,55.39343398064375,10.531713254749775,6.289592339479539
25,6.0,0.2515798205044121,0.7562354719266295,49.26548779010773,23.51971228606999,58.530704975128174,13.089254917576909,33.96507924422622,54.98292826116085,1.7220691068884575
26,7.0,0.2766979079227895,0.20628955867141485,97.0457524433732,78.03921889513731,18.844083547592163,65.51305148750544,18.03268611431122,95.33627461642027,5.7688285104297465
27,8.0,0.3799329664092511,0.372556415386498,179.59683800581843,16.76160135306418,22.70195670425892,28.979259310290217,49.330707751214504,98.22829451411963,0.22920406494982715
28,9.0,0.20645788158290088,0.7637694366276264,70.64731188584119,66.21170612052083,69.54325340688229,58.375122491270304,2.1133474074304104,48.41521114110947,5.7697148739946
29,10.0,0.2893837817013264,0.6685381289571524,81.4823687588796,13.666018275544047,0.9732114523649216,73.92222791910172,9.923975486308336,100.22284135222435,0.3387612804908668
30,11.0,0.3527221026364714,0.5609968192875385,57.63786523602903,52.01726227067411,65.17085373401642,68.90212663449347,52.242793422192335,69.31764006614685,2.155965064090138
31,12.0,0.1745234917383641,0.9937645699828863,82.85906017292291,84.75557806901634,52.52909056842327,105.29815934598446,7.9846287332475185,116.84455756098032,10.877987762696346
32,13.0,0.357755092298612,0.607698873616755,49.824522314593196,44.96006748639047,58.22133153676987,83.94101887010038,19.03498984873295,28.572422079741955,1.399882062132456
33,14.0,0.22022089371457695,0.8100333763286471,172.23957045935094,118.00778028555214,54.553829059004784,102.18454545363784,29.755877628922462,44.22825939953327,14.05839009629119
34,15.0,0.2006467625964433,0.7903624353930354,29.168728291988373,16.01772933267057,59.21252898871899,30.10281590744853,54.35221491381526,107.77639076113701,6.959371955616507
35,16.0,0.2226506793871522,0.10001351684331894,169.80484920553863,39.845650689676404,59.84831102192402,35.03831054084003,18.742729984223843,76.2206370010972,1.757346037687448
36,17.0,0.2505843335296959,0.5168917123228312,96.62329596001655,98.22707602754235,11.588464230298996,83.7578646838665,56.797253005206585,3.824429288506508,3.8577762897568015
37,18.0,0.2145281176548451,0.9743806766346097,160.24274077732116,73.21264542639256,40.93623869121075,20.755249299108982,42.981120217591524,54.23909068107605,4.5425151004599
38,19.0,0.2360396702773869,0.7457959819585085,83.67512617725879,12.234556451439857,18.583436980843544,107.80672376044095,38.17779175937176,48.05842984467745,0.6781299553759194
39,20.0,0.1728039918001741,0.190641931258142,116.41752211842686,97.27657023817301,60.34683279693127,115.62089703045785,38.36103430017829,34.66882947832346,21.350274898861656
40,21.0,0.1781106420536631,0.2690821248638402,116.91293829752055,98.38813387894517,57.38242753922802,114.10286218623666,36.83252546037789,36.0401144207781,13.222872770481656
41,22.0,0.17708865449724778,0.27765495652171107,118.64871825828584,99.47578998159379,58.424129069629636,113.83417175505313,37.07982550271317,36.632536787054775,14.62127091899673
42,23.0,0.17475855024517067,0.25024519774721354,116.88271352371878,98.36023389920615,58.62100202248333,114.38439687062365,37.51769694576328,35.541082392146095,17.360462148026286
43,24.0,0.38957958584651353,0.6664480287581682,52.789038312621415,112.13103724643588,1.9025856256484985,43.814936792477965,13.292753174901009,47.435827888548374,2.4728002546712893
44,25.0,0.17643833608673032,0.24933122205121586,117.63905299782623,98.44240673331976,58.73097980805596,114.48834493411889,37.50009722367682,35.50785622610563,18.789848279219704
45,26.0,0.17614133078895766,0.2523565589098364,117.36019894505758,98.47216291405597,58.57373864948637,114.38838699933467,37.413665606473586,35.68560968006239,18.266739528636187
46,27.0,0.17554317471657618,0.24011078500591201,117.14111937512114,98.21545259329213,58.95000233185616,114.65356406965178,37.641198066693136,35.396940307098355,18.54294422120376
47,28.0,0.17526790523129332,0.2374892348667134,117.15437170619713,98.19476414057925,59.03167409830323,114.68939038827253,37.66183776945613,35.418730448476396,17.78607508128808
48,29.0,0.17504744472196854,0.22680767577516683,122.26282200771507,114.66806057981528,59.542764031075606,120.0,43.30986342572231,85.3018732060121,17.50461976392147
49,30.0,0.16348613193583042,0.21980524529523984,121.12170178167236,107.41400250502605,64.53330056643512,119.6174390141406,40.563440045359286,45.174027476047115,19.28556974434041
50,31.0,0.17169572772713595,0.2543746752956801,118.42739515716627,102.48997348820198,60.72941476646979,116.06796335045138,38.17214379048436,45.59390539853845,15.385071720667645
51,32.0,0.17207866762065516,0.2746235962772778,119.5461951517669,101.94051860348124,60.31629317807187,115.64792156823748,38.1084655210676,44.488845768747154,13.57426066708617
52,33.0,0.17189083548136383,1.0,119.27538264941033,102.28547120554924,61.39880702950758,117.2695796307435,38.04281610844752,45.595118529999105,8.196235238819794
53,34.0,0.17290082628106856,0.21798966020293029,120.89277337881302,102.75196461992282,60.15299491994235,115.06460131577039,39.331220205233706,43.19681036532056,18.580323433856076
54,35.0,0.1736551282831109,0.23251643656075055,118.77430661366044,102.42276288715897,60.388136569328545,116.39403383115716,37.73746816131426,43.853291763852006,17.141515578011685
55,36.0,0.1729345754864741,0.22367254244378154,119.61073627512847,102.97519493917918,60.39390234540851,115.89190890065821,37.86455306774059,42.54939620958992,18.13228089774332
56,37.0,0.17274634937533692,0.21258565814236408,121.07043161589951,103.29228083212193,60.223519593726174,116.17697693619303,38.668883171711734,44.91118974487431,18.334148491876505
