iteracao	wpw1	R_1	L_1	R_2	Z_foc	F_obj	Q_tot	E_median	E_max
0.0	0.3869864100243438	99.5404463787328	48.964221758954764	58.48790111597725	50.99365903753425	0.9686339873146795	0.09624435264255779	9.444143561924855	24.904264966999214
0.0	0.18640733631460418	82.42565857156848	61.639909212386115	69.5213805881784	52.60273009588365	7.453542444482491	0.41930002310651476	15.939406257396175	68.76656691232446
0.0	0.19069268875320808	79.8232783491448	41.75568460325921	118.78646015163392	42.7558515339068	7.428119511690627	0.42125744460267195	15.936102296266062	57.35239557691597
0.0	0.3759431168631743	67.78207297734457	73.68321295759324	50.40351015063327	30.29639735648639	1.1479687302031045	0.11489949185119142	9.34867125233045	25.891090779130714
0.0	0.15624903411590427	102.06497567738293	54.616148344798475	95.30907553074886	118.82553131118445	1.1605484156393144	0.09367555786815453	11.578036642864655	41.905573363695595
0.0	0.35151409939948763	48.117500291542086	46.31031430208134	113.73753062539112	102.44725684284761	0.6259787917605106	0.06391627703489337	9.16705490624788	24.58501101901887
0.0	0.30324182369344066	94.0019934021721	54.2399579840054	58.820693962700574	102.20348018850557	3.295495980527257	0.26972956366377787	11.006018649005073	43.186961032996585
0.0	0.21694349430908258	99.88753006929193	62.58703089852585	66.38806238130186	157.94491575130476	5.862720291510893	0.35025168871382617	14.49012281867083	54.12448441361378
0.0	0.2641357523809498	90.88393207240046	43.24466964572409	57.715772876230304	58.412171105019745	5.7695872533178205	0.45190782090037274	11.784649745933173	47.63884488658265
0.0	0.19056226450448083	42.873386758360745	44.60397641285325	85.30988969978581	90.68325889466095	0.9663585406439732	0.07319798649954166	11.943656818773345	43.670600575341545
1.0	0.35193928945809605	116.44500389695168	76.74824006855488	64.6675992757082	132.25931376218796	1.7330763975538839	0.16571024487616956	9.680109127368558	33.71853445082698
2.0	0.38610474122688176	86.5441420674324	78.2070567086339	50.39087601006031	72.53245560452342	1.1483406451193843	0.11562164957666675	9.32886841253065	30.03405746458825
3.0	0.21694368683763673	99.8875387160456	62.58703073346675	66.38806303158805	157.94491658018958	5.958968204985011	0.356431666693675	14.63892654390493	53.556020918186555
4.0	0.2169581139402219	99.88760622959386	62.58702991957084	66.388069498609	157.9448593892457	7.049469517560502	0.4099231215399632	15.040543156855412	61.886828792911636
